Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
-0.5684,-0.0294,9.6726,0.3268,0.1444,-0.4788,111.0,1336.0,-154.0,30.4,1009.27796875,33.12248374608693,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.665,-0.3344,-0.4826,110.0,1335.0,-164.0,30.41,1009.2789453125,33.11432729977259,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.2432,0.6308,-0.2964,109.0,1337.0,-156.0,30.41,1009.2689453125,33.197849612376466,0.0,0.0
-0.5684,-0.0294,9.6726,-0.6422,0.0988,0.095,115.0,1333.0,-157.0,30.41,1009.2825,33.08463788913703,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.4332,0.6726,0.1976,110.0,1334.0,-159.0,30.42,1009.2734765625,33.160003481454815,0.0,0.0
-0.5684,-0.0196,9.653,-0.2508,0.8512,-0.8284,111.0,1337.0,-158.0,30.42,1009.294765625,32.98219375970175,0.0,0.0
-0.5684,-0.0196,9.653,0.7866,0.7106,-0.722,110.0,1334.0,-157.0,30.43,1009.2521484375,33.338142504844576,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.3192,-0.0646,-0.6156,110.0,1334.0,-155.0,30.43,1009.283125,33.07941778173813,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.7828,-0.076,0.133,110.0,1334.0,-155.0,30.44,1009.311484375,32.84255816212915,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.4294,-0.0608,-0.1786,109.0,1333.0,-151.0,30.44,1009.2940625,32.98806632587094,0.0,0.0
-0.5586,-0.0196,9.662799999999999,-0.5738,-0.8398,0.5966,110.0,1335.0,-163.0,30.46,1009.3240234375,32.73783269299478,0.0,0.0
-0.5684,-0.0294,9.653,0.0418,0.247,0.0722,110.0,1332.0,-158.0,30.45,1009.3540234375,32.48727883639771,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,-0.608,0.8854,-0.2546,108.0,1336.0,-156.0,30.46,1009.3446484375,32.565576268843294,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.19,-1.1324,0.209,108.0,1337.0,-156.0,30.46,1009.3446484375,32.565576268843294,0.0,0.0
-0.5194,-0.0294,9.653,0.0988,-0.6004,0.3382,112.0,1334.0,-156.0,30.47,1009.3301171875,32.686938452857326,0.0,0.0
-0.5194,-0.0196,9.662799999999999,-0.1862,0.0418,0.5966,111.0,1337.0,-155.0,30.47,1009.3698046875,32.355479488320114,0.0,0.0
-0.5488,-0.0294,9.662799999999999,-0.4826,0.4332,0.2584,111.0,1336.0,-157.0,30.48,1009.374609375,32.31535279040334,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.0342,0.1862,-0.4408,113.0,1339.0,-158.0,30.48,1009.344609375,32.5659025093759,0.0,0.0
-0.5586,-0.0196,9.653,-0.0456,-0.7106,-0.2622,112.0,1335.0,-153.0,30.48,1009.34171875,32.59004433724091,0.0,0.0
