MilliTime,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
1656484489416,7.2421999999999995,6.7326,-1.911,-3.0172,-4.3168,6.7412,48.0,1385.0,21.0,36.21,1009.3487890625,32.530994830240274,0.0,0.0
1656484489525,7.2421999999999995,6.7326,-1.911,-5.1756,-4.4346,5.7342,48.0,1385.0,21.0,36.2,1009.3823828125,32.250432687957904,0.0,0.0
1656484489626,7.6342,6.664,-1.7247999999999999,-2.6144,-2.2686,-3.1578,49.0,1386.0,10.0,36.22,1009.3641015625,32.40310975325815,0.0,0.0
1656484489726,6.928599999999999,6.8796,-1.911,-6.9312,-4.1078,2.8728,49.0,1382.0,7.0,36.22,1009.3709375,32.34601870821347,0.0,0.0
1656484489827,7.644,6.9776,-1.7149999999999999,-6.9464,-6.1522,-1.8468,47.0,1379.0,16.0,36.22,1009.3753125,32.3094806036811,0.0,0.0
1656484489927,7.8498,6.4483999999999995,-1.4405999999999999,8.1016,0.0798,-5.2098,46.0,1383.0,19.0,36.22,1009.34796875,32.53784586084287,0.0,0.0
1656484490027,7.1442,7.0266,-2.2441999999999998,-3.4162,-2.3104,-3.5796,51.0,1381.0,18.0,36.23,1009.36546875,32.39169151920211,0.0,0.0
1656484490128,7.0952,6.9188,-1.9012,-11.4874,-3.7316,2.2876,48.0,1381.0,18.0,36.24,1009.3531640625,32.4944560765218,0.0,0.0
1656484490228,7.301,6.958,-1.5777999999999999,-3.914,-1.558,0.323,48.0,1378.0,14.0,36.23,1009.3181640625,32.78676969698907,0.0,0.0
1656484490329,7.5264,6.8894,-1.5288,-2.8652,-0.741,-3.0514,48.0,1384.0,17.0,36.23,1009.3318359375,32.672583712157085,0.0,0.0
1656484490433,7.1049999999999995,6.909,-1.5288,-2.8652,-0.741,-3.0514,48.0,1384.0,17.0,36.23,1009.331328125,32.67682488348386,38.260215,140.85252333333332
1656484490534,7.1049999999999995,6.909,-1.5288,-0.4332,-1.9684,-1.2882,45.0,1378.0,19.0,36.23,1009.331328125,32.67682488348386,38.260215,140.85252333333332
1656484490634,7.301,6.8894,-1.7247999999999999,-2.375,-1.4098,1.8506,47.0,1375.0,16.0,36.21,1009.29109375,33.01286164177911,38.260215,140.85252333333332
1656484490735,7.252,6.9384,-1.6856,-5.7342,-1.4668,2.7208,43.0,1379.0,10.0,36.22,1009.282109375,33.0879004575951,38.260215,140.85252333333332
1656484490835,7.3793999999999995,6.9874,-1.617,-0.6422,1.2502,-2.5232,47.0,1374.0,14.0,36.21,1009.270625,33.18382042710967,38.260215,140.85252333333332
1656484490935,7.2324,6.9482,-1.6072,-0.6688,-1.4516,-3.5834,47.0,1379.0,17.0,36.21,1009.24625,33.38740859699051,38.260215,140.85252333333332
1656484491036,7.0854,7.1246,-1.6856,0.2546,-2.9602,-3.1654,44.0,1378.0,13.0,36.2,1009.2183984375,33.620039055744826,38.260215,140.85252333333332
1656484491136,7.154,7.0363999999999995,-1.666,0.3344,-0.5852,-2.9906,44.0,1376.0,16.0,36.2,1009.1696875,34.0269101523463,38.260215,140.85252333333332
1656484491237,6.791399999999999,7.271599999999999,-1.6856,0.4294,-2.1014,-1.3984,39.0,1374.0,12.0,36.2,1009.22140625,33.594916020908855,38.260215,140.85252333333332
1656484491337,6.9776,7.154,-1.666,1.3034,-1.3528,-2.793,44.0,1377.0,16.0,36.19,1009.193203125,33.83048763765043,38.260215,140.85252333333332
1656484491452,7.056,7.1834,-1.7052,5.0388,-2.5612,-5.2972,46.0,1374.0,12.0,36.2,1009.2014453125,33.7616427496323,38.26021333333333,140.852525
1656484491562,6.9776,7.3206,-1.8914,3.3174,-3.5302,-8.9414,44.0,1371.0,16.0,36.21,1009.1369140625,34.300667978411255,38.26021333333333,140.852525
1656484491674,6.615,7.477399999999999,-2.0482,-2.2838,-4.9362,-4.845,45.0,1372.0,15.0,36.21,1009.174921875,33.98318787659888,38.26021333333333,140.852525
1656484491788,6.4974,7.5165999999999995,-1.7835999999999999,-1.9836,-1.824,-10.0814,45.0,1361.0,15.0,36.22,1009.224140625,33.572076950933855,38.26021333333333,140.852525
1656484491900,6.1446,7.6734,-1.8718,0.1102,-4.1838,-2.0216,46.0,1362.0,13.0,36.22,1009.2211328125,33.59719993065754,38.26021333333333,140.852525
1656484492012,6.5169999999999995,7.5851999999999995,-1.8424,4.4612,1.4858,-4.4118,44.0,1362.0,13.0,36.22,1009.2348046875,33.483005056781806,38.26021333333333,140.852525
1656484492125,6.223,7.7028,-2.1364,2.128,-2.0216,-0.3686,43.0,1367.0,19.0,36.23,1009.2561328125,33.3048635546631,38.26021333333333,140.852525
1656484492237,6.2622,7.84,-2.1755999999999998,-2.4548,0.6498,1.5846,43.0,1365.0,18.0,36.23,1009.24,33.43961133313317,38.26021333333333,140.852525
1656484492343,6.2622,7.84,-2.1755999999999998,-2.4548,0.6498,1.5846,43.0,1365.0,18.0,36.24,1009.2233203125,33.57892866666514,38.26021333333333,140.85252666666668
1656484492444,6.6738,7.6636,-1.9796,-2.527,0.4256,-4.9286,44.0,1366.0,17.0,36.24,1009.2233203125,33.57892866666514,38.26021333333333,140.85252666666668
1656484492545,6.321,7.8008,-1.9207999999999998,2.4282,-1.1286,-3.3022,44.0,1363.0,13.0,36.24,1009.22,33.60666184783035,38.26021333333333,140.85252666666668
1656484492646,6.3406,7.9184,-2.1168,-0.4446,-4.6588,3.1122,45.0,1364.0,8.0,36.24,1009.25421875,33.320850488044435,38.26021333333333,140.85252666666668
1656484492746,6.321,7.9086,-2.1658,-1.8392,-4.2408,1.5884,42.0,1365.0,11.0,36.24,1009.213203125,33.66343353145125,38.26021333333333,140.85252666666668
1656484492847,6.4974,7.683199999999999,-1.9012,0.798,2.47,-3.344,44.0,1365.0,14.0,36.24,1009.22,33.60666184783035,38.26021333333333,140.85252666666668
1656484492948,6.321,7.8498,-1.911,8.8882,4.7956,-6.004,45.0,1359.0,14.0,36.24,1009.1891796875,33.864094549301996,38.26021333333333,140.85252666666668
1656484493048,6.027,8.1928,-2.352,-4.0888,-1.4098,-4.0394,42.0,1363.0,15.0,36.24,1009.1798828125,33.94174976981196,38.26021333333333,140.85252666666668
1656484493149,5.9486,7.7714,-1.9207999999999998,-1.9152,-3.3326,6.3498,43.0,1366.0,18.0,36.25,1009.1426953125,34.25237644444445,38.26021333333333,140.85252666666668
1656484493257,6.6052,7.9478,-1.9207999999999998,-2.3484,1.9798,-1.957,39.0,1358.0,17.0,36.24,1009.1585546875,34.11990217030891,38.26021333333333,140.85252666666668
1656484493371,6.3308,7.9674,-2.0972,-3.1654,2.1014,1.5162,45.0,1357.0,19.0,36.25,1009.22171875,33.59230583894218,38.26021166666666,140.85252666666668
1656484493483,6.2818,7.683199999999999,-1.9991999999999999,0.494,1.3452,4.6512,42.0,1364.0,14.0,36.25,1009.2085546875,33.702260320927884,38.26021166666666,140.85252666666668
1656484493596,6.2818,7.957599999999999,-1.8424,0.4104,0.2584,3.1464,42.0,1364.0,14.0,36.26,1009.2367578125,33.46669160562325,38.26021166666666,140.85252666666668
1656484493696,6.2818,7.957599999999999,-1.8424,0.4104,0.2584,3.1464,42.0,1364.0,9.0,36.26,1009.2367578125,33.46669160562325,38.26021166666666,140.85252666666668
1656484493797,6.4582,7.7812,-1.9698,-0.3496,0.3648,1.4098,44.0,1365.0,12.0,36.26,1009.2230859375,33.58088630055876,38.26021166666666,140.85252666666668
1656484493897,6.272,7.9674,-2.0482,-3.8988,-1.387,1.8354,41.0,1361.0,11.0,36.27,1009.206953125,33.71563765168597,38.26021166666666,140.85252666666668
1656484493998,6.5954,7.340199999999999,-1.5582,6.3536,1.0032,-2.9868,44.0,1367.0,12.0,36.26,1009.1995703125,33.77730410595459,38.26021166666666,140.85252666666668
1656484494098,6.762,8.0556,-1.9502,7.3948,-1.4174,1.0412,41.0,1361.0,13.0,36.26,1009.1858984375,33.89150220804305,38.26021166666666,140.85252666666668
