MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709088682011,2.0,9.3688,0.34299999999999997,-2.3618,-0.057,-0.0228,0.1216,202.0,8.0,80.0,26.5,1016.13,-25.02955922572798,0.0,0.0,14469824.89267613,-84.28940686250037,-76.48639454614803,180
1709088682071,2.0,9.3786,0.34299999999999997,-2.3422,-0.0304,-0.1558,0.076,202.0,8.0,80.0,26.5,1016.22,-23.534463602789153,0.0,0.0,14469824.89267613,-84.28940686250037,-76.48639454614803,180
1709088682124,2.0,9.388399999999999,0.3528,-2.3716,-0.2394,-0.1596,0.133,200.0,5.0,81.0,26.5,1016.15,-25.112613806508975,0.0,0.0,14469824.89267613,-86.46770541610911,-76.48639454614803,180
1709088682180,2.0,9.3786,0.34299999999999997,-2.352,0.0228,-0.057,0.133,200.0,5.0,81.0,26.5,1016.15,-24.448158630908075,0.0,0.0,14469824.89267613,-86.46770541610911,-76.48639454614803,180
1709088682235,2.0,9.3786,0.34299999999999997,-2.3422,0.133,0.0532,-0.0152,201.0,4.0,80.0,26.5,1016.18,-25.112613806508975,0.0,0.0,14469824.89267613,-87.13759477388825,-76.48639454614803,180
1709088682296,2.0,9.3786,0.34299999999999997,-2.3618,-0.0076,0.0304,0.0722,201.0,4.0,80.0,26.5,1016.18,-24.365098755882816,0.0,0.0,14469824.89267613,-87.13759477388825,-76.48639454614803,180
1709088682365,2.0,9.3786,0.34299999999999997,-2.3716,-0.1482,-0.3838,0.1862,200.0,4.0,81.0,26.5,1016.25,-24.365098755882816,0.0,0.0,14469824.89267613,-87.17287542183873,-76.48639454614803,180
1709088682500,2.0,9.3786,0.34299999999999997,-2.3716,-0.0532,-0.1064,0.0874,204.0,7.0,83.0,26.5,1016.21,-24.448158630908075,0.0,0.0,14469824.89267613,-85.17923392190735,-76.48639454614803,180
1709088682591,2.0,9.3786,0.34299999999999997,-2.3618,0.076,-0.494,0.095,198.0,6.0,81.0,26.5,1016.28,-24.365098755882816,0.0,0.0,14469824.89267613,-85.76360520094116,-76.48639454614803,180
1709088682653,2.0,9.3786,0.34299999999999997,-2.352,-0.2432,-0.133,0.0988,199.0,5.0,81.0,26.5,1016.15,-23.866725606794684,0.0,0.0,14469824.89267613,-86.46770541610911,-76.48639454614803,180
1709088682710,2.0,9.3786,0.34299999999999997,-2.3618,-0.0532,-0.2052,0.0874,202.0,12.0,80.0,26.5,1016.16,-24.448158630908075,0.0,0.0,14469824.89267613,-81.46923439005187,-76.48639454614803,180
1709088682812,2.0,9.3688,0.34299999999999997,-2.352,-0.247,-0.2356,0.0456,202.0,4.0,80.0,26.5,1016.27,-25.112613806508975,0.0,0.0,14469824.89267613,-87.13759477388825,-76.48639454614803,180
1709088682932,2.0,9.3786,0.34299999999999997,-2.3618,-0.1178,-0.342,0.1748,200.0,3.0,81.0,26.5,1016.19,-24.697334285103796,0.0,0.0,14469824.89267613,-87.87890360333854,-76.48639454614803,180
1709088682991,2.0,9.3786,0.34299999999999997,-2.3618,0.0152,-2.8006,0.152,200.0,3.0,81.0,26.5,1016.31,-24.614276395508725,0.0,0.0,14469824.89267613,-87.87890360333854,-76.48639454614803,180
1709088683074,2.0,9.3296,0.3528,-2.303,0.0266,1.2274,0.1026,201.0,5.0,81.0,26.5,1016.16,-24.365098755882816,0.0,0.0,14469824.89267613,-86.46770541610911,-76.48639454614803,180
1709088683128,2.0,9.3786,0.3528,-2.401,-0.1976,-1.5124,0.114,200.0,6.0,82.0,26.5,1016.16,-23.949789453005145,0.0,0.0,14469824.89267613,-85.8150838748816,-76.48639454614803,180
1709088683198,2.0,9.3786,0.3528,-2.3813999999999997,-0.019,1.292,0.2128,200.0,6.0,82.0,26.5,1016.27,-24.19897702031352,0.0,0.0,14469824.89267613,-85.8150838748816,-76.48639454614803,180
1709088683265,2.0,9.3982,0.34299999999999997,-2.4402,0.0988,2.3028,0.1216,200.0,5.0,78.0,26.5,1016.24,-24.614276395508725,0.0,0.0,14469824.89267613,-86.33221194446858,-76.48639454614803,180
1709088683320,2.0,9.4178,0.3332,-2.4598,0.152,5.0692,0.1596,202.0,9.0,82.0,26.5,1016.18,-24.448158630908075,0.0,0.0,14469824.89267613,-83.73650938566547,-76.48639454614803,180
1709088683376,2.0,9.3688,0.34299999999999997,-2.3324,0.0912,5.7646,-0.0494,202.0,9.0,82.0,26.5,1016.05,-24.697334285103796,0.0,0.0,14469824.89267613,-83.73650938566547,-76.48639454614803,180
1709088683438,2.0,9.3688,0.34299999999999997,-2.3324,-0.2204,6.1294,0.1976,199.0,9.0,81.0,26.6,1016.25,-24.614276395508725,0.0,0.0,14469824.89267613,-83.6598082540901,-76.48639454614803,180
1709088683653,2.0,8.4476,0.1666,-1.1466,33.535,-39.0146,1.0982,201.0,-2.0,75.0,26.6,1016.25,-24.448158630908075,0.0,0.0,14469824.89267613,-91.52752544221293,-76.48639454614803,180
1709088683706,2.0,9.8882,0.4704,-1.2838,16.9746,-24.2668,-0.0114,198.0,-4.0,78.0,26.5,1016.27,-24.8634480789425,0.0,0.0,14469824.89267613,-92.93567344642116,-76.48639454614803,180
1709088683759,2.0,9.8882,-0.2744,-2.0188,37.8784,-16.5908,0.4104,198.0,-4.0,78.0,26.5,1016.36,-24.365098755882816,0.0,0.0,14469824.89267613,-92.93567344642116,-76.48639454614803,180
1709088683816,2.0,9.2708,-0.2744,-2.0188,85.8154,-101.479,-0.9538,195.0,6.0,86.0,26.5,1016.22,-24.8634480789425,0.0,0.0,14469824.89267613,-86.00908690157023,-76.48639454614803,180
1709088683872,2.0,9.3492,0.3626,-2.9987999999999997,54.7276,-95.9652,13.4406,195.0,6.0,86.0,26.5,1016.31,-25.112613806508975,0.0,0.0,14469824.89267613,-86.00908690157023,-76.48639454614803,180
