MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709195753380,4.0,1.1662,-0.34299999999999997,9.251199999999999,-0.6232,-7.1934,1.444,101.0,-136.0,-329.0,34.1,1015.41,-16.886998359678437,0.0,0.0,14469841.099452531,143.4006825363179,-76.48623620500258,180
1709195753451,4.0,1.4504,-0.41159999999999997,9.653,-0.1786,-0.7828,1.5466,101.0,-136.0,-329.0,34.1,1015.26,-17.136354833080954,0.0,0.0,14469841.099452531,143.4006825363179,-76.48623620500258,180
1709195753512,4.0,1.6954,-0.3038,9.799999999999999,-0.7866,1.7822,-0.399,99.0,-133.0,-326.0,34.1,1015.26,-16.970117847022355,0.0,0.0,14469841.099452531,143.33744443884672,-76.48623620500258,180
1709195753566,4.0,1.617,-0.1764,9.6236,-0.6574,1.159,-0.7486,99.0,-133.0,-326.0,34.1,1015.34,-17.219472331815318,0.0,0.0,14469841.099452531,143.33744443884672,-76.48623620500258,180
1709195753630,5.0,1.421,-0.3528,9.4668,-2.3408,-1.5238,0.4218,101.0,-133.0,-328.0,34.2,1015.31,-17.136354833080954,0.0,0.0,14469841.099452531,142.78701795463246,-76.48623620500258,180
1709195753691,5.0,1.3621999999999999,-0.5194,9.4864,1.6454,-3.2908,1.159,99.0,-135.0,-326.0,34.2,1015.32,-16.720757396282615,0.0,0.0,14469841.099452531,143.7461622625552,-76.48623620500258,180
1709195753752,5.0,1.5484,-0.294,9.5452,-3.1198,-0.5776,0.152,99.0,-135.0,-326.0,34.2,1015.34,-16.63763592021102,0.0,0.0,14469841.099452531,143.7461622625552,-76.48623620500258,180
1709195753816,5.0,1.6562,-0.1862,9.653,-2.9146,-0.2318,0.855,102.0,-134.0,-328.0,34.2,1015.29,-17.136354833080954,0.0,0.0,14469841.099452531,142.72182580013097,-76.48623620500258,180
1709195753875,5.0,1.4896,-0.5292,9.5452,-1.4706,-0.2242,1.7898,102.0,-134.0,-328.0,34.2,1015.26,-16.720757396282615,0.0,0.0,14469841.099452531,142.72182580013097,-76.48623620500258,180
1709195753934,5.0,1.5974,-0.4214,9.6138,-0.8246,1.2654,0.5168,100.0,-134.0,-328.0,34.2,1015.26,-17.38570534073356,0.0,0.0,14469841.099452531,143.26717333551065,-76.48623620500258,180
1709195753993,5.0,1.5876,-0.3038,9.5844,-0.7144,0.3648,-0.5776,100.0,-134.0,-327.0,34.2,1015.26,-16.63763592021102,0.0,0.0,14469841.099452531,143.26717333551065,-76.48623620500258,180
1709195754054,5.0,1.519,-0.4606,9.4864,-0.7296,0.3382,-0.1406,100.0,-134.0,-327.0,34.2,1015.28,-16.720757396282615,0.0,0.0,14469841.099452531,143.26717333551065,-76.48623620500258,180
1709195754116,5.0,1.519,-0.539,9.6236,1.1552,0.551,-0.1938,102.0,-135.0,-326.0,34.2,1015.28,-17.219472331815318,0.0,0.0,14469841.099452531,142.9269266826896,-76.48623620500258,180
1709195754178,5.0,1.6954,-0.3038,9.7216,3.4998,2.5422,-4.2218,102.0,-134.0,-327.0,34.2,1015.22,-16.886998359678437,0.0,0.0,14469841.099452531,142.72182580013097,-76.48623620500258,180
1709195754239,5.0,1.813,-0.0196,9.731399999999999,1.3338,3.4618,-8.4626,101.0,-134.0,-327.0,34.2,1015.26,-16.47139097925158,0.0,0.0,14469841.099452531,142.9935214936398,-76.48623620500258,180
1709195754305,5.0,1.519,-0.21559999999999999,9.506,2.223,-9.785,-14.3868,100.0,-132.0,-328.0,34.2,1015.23,-16.720757396282615,0.0,0.0,14469841.099452531,142.85331330197823,-76.48623620500258,180
1709195754364,5.0,1.0976,-0.20579999999999998,8.9474,2.3066,-23.009,-17.4268,100.0,-132.0,-328.0,34.2,1015.28,-16.970117847022355,0.0,0.0,14469841.099452531,142.85331330197823,-76.48623620500258,180
1709195754423,5.0,1.5484,-0.2254,9.2218,-7.0034,-24.8216,3.0856,100.0,-130.0,-327.0,34.2,1015.25,-16.970117847022355,0.0,0.0,14469841.099452531,142.43140797117252,-76.48623620500258,180
